time,V_Load_1,V_Load_2
0.000E0sec,0.000E0V,0.000E0V
1.000E-11sec,0.000E0V,0.000E0V
2.000E-11sec,0.000E0V,0.000E0V
5.000E-11sec,0.000E0V,0.000E0V
1.400E-10sec,0.000E0V,0.000E0V
4.100E-10sec,0.000E0V,0.000E0V
1.220E-9sec,0.000E0V,0.000E0V
2.220E-9sec,0.000E0V,0.000E0V
3.220E-9sec,0.000E0V,0.000E0V
4.220E-9sec,0.000E0V,0.000E0V
5.220E-9sec,0.000E0V,0.000E0V
6.220E-9sec,0.000E0V,0.000E0V
7.220E-9sec,0.000E0V,0.000E0V
8.220E-9sec,0.000E0V,0.000E0V
9.220E-9sec,0.000E0V,0.000E0V
1.022E-8sec,0.000E0V,0.000E0V
1.122E-8sec,0.000E0V,0.000E0V
1.222E-8sec,0.000E0V,0.000E0V
1.322E-8sec,0.000E0V,0.000E0V
1.422E-8sec,0.000E0V,0.000E0V
1.522E-8sec,0.000E0V,0.000E0V
1.622E-8sec,0.000E0V,0.000E0V
1.722E-8sec,0.000E0V,0.000E0V
1.822E-8sec,0.000E0V,0.000E0V
1.922E-8sec,0.000E0V,0.000E0V
2.022E-8sec,0.000E0V,0.000E0V
2.122E-8sec,0.000E0V,0.000E0V
2.222E-8sec,0.000E0V,0.000E0V
2.322E-8sec,0.000E0V,0.000E0V
2.422E-8sec,0.000E0V,0.000E0V
2.522E-8sec,0.000E0V,0.000E0V
2.622E-8sec,0.000E0V,0.000E0V
2.722E-8sec,0.000E0V,0.000E0V
2.822E-8sec,0.000E0V,0.000E0V
2.922E-8sec,0.000E0V,0.000E0V
3.022E-8sec,0.000E0V,0.000E0V
3.122E-8sec,0.000E0V,0.000E0V
3.222E-8sec,0.000E0V,0.000E0V
3.322E-8sec,0.000E0V,0.000E0V
3.422E-8sec,0.000E0V,0.000E0V
3.522E-8sec,0.000E0V,0.000E0V
3.622E-8sec,0.000E0V,0.000E0V
3.722E-8sec,0.000E0V,0.000E0V
3.822E-8sec,0.000E0V,0.000E0V
3.922E-8sec,0.000E0V,0.000E0V
4.022E-8sec,0.000E0V,0.000E0V
4.122E-8sec,0.000E0V,0.000E0V
4.222E-8sec,0.000E0V,0.000E0V
4.322E-8sec,0.000E0V,0.000E0V
4.422E-8sec,0.000E0V,0.000E0V
4.522E-8sec,0.000E0V,0.000E0V
4.622E-8sec,0.000E0V,0.000E0V
4.722E-8sec,0.000E0V,0.000E0V
4.822E-8sec,0.000E0V,0.000E0V
4.922E-8sec,0.000E0V,0.000E0V
5.022E-8sec,0.000E0V,0.000E0V
5.122E-8sec,0.000E0V,0.000E0V
5.222E-8sec,0.000E0V,0.000E0V
5.322E-8sec,0.000E0V,0.000E0V
5.422E-8sec,0.000E0V,0.000E0V
5.522E-8sec,0.000E0V,0.000E0V
5.622E-8sec,0.000E0V,0.000E0V
5.722E-8sec,0.000E0V,0.000E0V
5.822E-8sec,0.000E0V,0.000E0V
5.922E-8sec,0.000E0V,0.000E0V
6.022E-8sec,0.000E0V,0.000E0V
6.122E-8sec,0.000E0V,0.000E0V
6.222E-8sec,0.000E0V,0.000E0V
6.322E-8sec,0.000E0V,0.000E0V
6.422E-8sec,0.000E0V,0.000E0V
6.522E-8sec,0.000E0V,0.000E0V
6.622E-8sec,0.000E0V,0.000E0V
6.722E-8sec,0.000E0V,0.000E0V
6.822E-8sec,0.000E0V,0.000E0V
6.922E-8sec,0.000E0V,0.000E0V
7.022E-8sec,0.000E0V,0.000E0V
7.122E-8sec,0.000E0V,0.000E0V
7.222E-8sec,0.000E0V,0.000E0V
7.322E-8sec,0.000E0V,0.000E0V
7.422E-8sec,0.000E0V,0.000E0V
7.522E-8sec,0.000E0V,0.000E0V
7.622E-8sec,0.000E0V,0.000E0V
7.722E-8sec,0.000E0V,0.000E0V
7.822E-8sec,0.000E0V,0.000E0V
7.922E-8sec,0.000E0V,0.000E0V
8.022E-8sec,0.000E0V,0.000E0V
8.122E-8sec,0.000E0V,0.000E0V
8.222E-8sec,0.000E0V,0.000E0V
8.322E-8sec,0.000E0V,0.000E0V
8.422E-8sec,0.000E0V,0.000E0V
8.522E-8sec,0.000E0V,0.000E0V
8.622E-8sec,0.000E0V,0.000E0V
8.722E-8sec,0.000E0V,0.000E0V
8.822E-8sec,0.000E0V,0.000E0V
8.922E-8sec,0.000E0V,0.000E0V
9.022E-8sec,0.000E0V,0.000E0V
9.122E-8sec,0.000E0V,0.000E0V
9.222E-8sec,0.000E0V,0.000E0V
9.322E-8sec,0.000E0V,0.000E0V
9.422E-8sec,0.000E0V,0.000E0V
9.522E-8sec,0.000E0V,0.000E0V
9.622E-8sec,0.000E0V,0.000E0V
9.722E-8sec,0.000E0V,0.000E0V
9.822E-8sec,0.000E0V,0.000E0V
9.922E-8sec,0.000E0V,0.000E0V
1.000E-7sec,0.000E0V,0.000E0V
1.001E-7sec,0.000E0V,0.000E0V
1.004E-7sec,0.000E0V,0.000E0V
1.013E-7sec,0.000E0V,0.000E0V
1.023E-7sec,0.000E0V,0.000E0V
1.033E-7sec,0.000E0V,0.000E0V
1.043E-7sec,0.000E0V,0.000E0V
1.053E-7sec,0.000E0V,0.000E0V
1.063E-7sec,0.000E0V,0.000E0V
